10.101.69.73;2102312CGNN0LB000244
10.101.69.74;2102312CGNN0LB000237
10.101.69.75;2102312CGNN0LB000227
10.101.69.85;2102312CGNP0LB000075
10.101.69.86;2102312CGNP0LB000083
10.101.69.87;2102312CGNP0LB000080
10.101.69.97;2102312CGNN0LB000257
10.101.69.98;2102312CGNN0LB000268
10.101.69.99;2102312CGNN0LB000283
10.101.71.111;2102312CGNP0LB000054
10.101.71.123;2102312CGNP0LB000052
10.101.71.124;2102312CGNN0LB000291
10.101.71.125;2102312CGNN0LB000264
10.101.71.135;2102312CGNN0LB000245
10.101.71.136;2102312CGNN0LB000243
10.101.71.137;2102312CGNN0LB000247
10.101.71.147;2102312CGNP0LB000006
10.101.71.148;2102312CGNP0LB000004
10.101.71.149;2102312CGNP0LB000009
10.101.71.159;2102312CGNP0LB000050
10.101.71.160;2102312CGNP0LB000049
10.101.71.161;2102312CGNP0LB000031
10.101.71.171;2102312CGNP0LB000051
10.101.71.172;2102312CGNP0LB000058
10.101.71.173;2102312CGNN0LB000271
10.120.179.155;2102312CGN6TLB000349
10.120.179.156;2102312CGN6TLB000348
10.120.179.157;2102312CGN6TLB000116
10.120.179.158;2102312CGN6TLB000120
10.120.179.175;2102312CGN6TLB000376
10.120.179.176;2102312CGN6TLB000118
10.120.179.177;2102312CGN6TLB000390
10.120.179.178;2102312CGN6TLB000134
10.120.179.195;2102312CGN6TLB000077
10.120.179.196;2102312CGN6TLB000017
10.120.179.197;2102312CGN6TLB000220
10.120.179.198;2102312CGN6TLB000090
10.120.179.215;2102312CGN6TLB000310
10.120.179.216;2102312CGN6TLB000308
10.120.179.217;2102312CGN6TLB000311
10.120.179.218;2102312CGN6TLB000307
10.120.179.235;2102312CGN6TLB000064
10.120.179.236;2102312CGN6TLB000224
10.120.179.237;2102312CGN6TLB000219
10.120.179.238;2102312CGN6TLB000054
10.120.180.13;2102312CGN6TLB000014
10.120.180.14;2102312CGN6TLB000232
10.120.180.15;2102312CGN6TLB000016
10.120.180.16;2102312CGN6TLB000211
10.120.180.35;2102312CGN6TLB000157
